"";"Name";"Team";"Position";"height";"weight";"Age"
"1";"Adam_Donachie";"BAL";"Catcher";74;180;22,99
"2";"Paul_Bako";"BAL";"Catcher";74;215;34,69
"3";"Ramon_Hernandez";"BAL";"Catcher";72;210;30,78
"4";"Kevin_Millar";"BAL";"First_Baseman";72;210;35,43
"5";"Chris_Gomez";"BAL";"First_Baseman";73;188;35,71
"6";"Brian_Roberts";"BAL";"Second_Baseman";69;176;29,39
"7";"Miguel_Tejada";"BAL";"Shortstop";69;209;30,77
"8";"Melvin_Mora";"BAL";"Third_Baseman";71;200;35,07
"9";"Aubrey_Huff";"BAL";"Third_Baseman";76;231;30,19
"10";"Adam_Stern";"BAL";"Outfielder";71;180;27,05
"11";"Jeff_Fiorentino";"BAL";"Outfielder";73;188;23,88
"12";"Freddie_Bynum";"BAL";"Outfielder";73;180;26,96
"13";"Nick_Markakis";"BAL";"Outfielder";74;185;23,29
"14";"Brandon_Fahey";"BAL";"Outfielder";74;160;26,11
"15";"Corey_Patterson";"BAL";"Outfielder";69;180;27,55
"16";"Jay_Payton";"BAL";"Outfielder";70;185;34,27
"17";"Jay_Gibbons";"BAL";"Designated_Hitter";72;197;30
"18";"Erik_Bedard";"BAL";"Starting_Pitcher";73;189;27,99
"19";"Hayden_Penn";"BAL";"Starting_Pitcher";75;185;22,38
"20";"Adam_Loewen";"BAL";"Starting_Pitcher";78;219;22,89
"21";"Daniel_Cabrera";"BAL";"Starting_Pitcher";79;230;25,76
"22";"Steve_Trachsel";"BAL";"Starting_Pitcher";76;205;36,33
"23";"Jaret_Wright";"BAL";"Starting_Pitcher";74;230;31,17
"24";"Kris_Benson";"BAL";"Starting_Pitcher";76;195;32,31
"25";"Scott_Williamson";"BAL";"Relief_Pitcher";72;180;31,03
"26";"John_Parrish";"BAL";"Relief_Pitcher";71;192;29,26
"27";"Danys_Baez";"BAL";"Relief_Pitcher";75;225;29,47
"28";"Chad_Bradford";"BAL";"Relief_Pitcher";77;203;32,46
"29";"Jamie_Walker";"BAL";"Relief_Pitcher";74;195;35,67
"30";"Brian_Burres";"BAL";"Relief_Pitcher";73;182;25,89
"31";"Kurt_Birkins";"BAL";"Relief_Pitcher";74;188;26,55
"32";"James_Hoey";"BAL";"Relief_Pitcher";78;200;24,17
"33";"Sendy_Rleal";"BAL";"Relief_Pitcher";73;180;26,69
"34";"Chris_Ray";"BAL";"Relief_Pitcher";75;200;25,13
"35";"Jeremy_Guthrie";"BAL";"Relief_Pitcher";73;200;27,9
"36";"A.J._Pierzynski";"CWS";"Catcher";75;245;30,17
"37";"Toby_Hall";"CWS";"Catcher";75;240;31,36
"38";"Paul_Konerko";"CWS";"First_Baseman";74;215;30,99
"39";"Tadahito_Iguchi";"CWS";"Second_Baseman";69;185;32,24
"40";"Juan_Uribe";"CWS";"Shortstop";71;175;27,61
"41";"Alex_Cintron";"CWS";"Shortstop";74;199;28,2
"42";"Joe_Crede";"CWS";"Third_Baseman";73;200;28,85
"43";"Josh_Fields";"CWS";"Third_Baseman";73;215;24,21
"44";"Ryan_Sweeney";"CWS";"Outfielder";76;200;22,02
"45";"Brian_N._Anderson";"CWS";"Outfielder";74;205;24,97
"46";"Luis_Terrero";"CWS";"Outfielder";74;206;26,78
"47";"Pablo_Ozuna";"CWS";"Outfielder";70;186;32,51
"48";"Scott_Podsednik";"CWS";"Outfielder";72;188;30,95
"49";"Jermaine_Dye";"CWS";"Outfielder";77;220;33,09
"50";"Darin_Erstad";"CWS";"Outfielder";74;210;32,74
"51";"Rob_Mackowiak";"CWS";"Outfielder";70;195;30,69
"52";"Jim_Thome";"CWS";"Designated_Hitter";76;244;36,51
"53";"Jerry_Owens";"CWS";"Designated_Hitter";75;195;26,03
"54";"Charlie_Haeger";"CWS";"Starting_Pitcher";73;200;23,45
"55";"Heath_Phillips";"CWS";"Starting_Pitcher";75;200;24,94
"56";"Gavin_Floyd";"CWS";"Starting_Pitcher";76;212;24,09
"57";"Jose_Contreras";"CWS";"Starting_Pitcher";76;224;35,23
"58";"Jon_Garland";"CWS";"Starting_Pitcher";78;210;27,43
"59";"Javier_Vazquez";"CWS";"Starting_Pitcher";74;205;30,6
"60";"Mark_Buehrle";"CWS";"Starting_Pitcher";74;220;27,94
"61";"Mike_MacDougal";"CWS";"Relief_Pitcher";76;195;29,99
"62";"David_Aardsma";"CWS";"Relief_Pitcher";77;200;25,17
"63";"Andrew_Sisco";"CWS";"Relief_Pitcher";81;260;24,13
"64";"Matt_Thornton";"CWS";"Relief_Pitcher";78;228;30,46
"65";"Bobby_Jenks";"CWS";"Relief_Pitcher";75;270;25,96
"66";"Boone_Logan";"CWS";"Relief_Pitcher";77;200;22,55
"67";"Sean_Tracey";"CWS";"Relief_Pitcher";75;210;26,29
"68";"Nick_Masset";"CWS";"Relief_Pitcher";76;190;24,79
"69";"Jose_Molina";"ANA";"Catcher";74;220;31,74
"70";"Jeff_Mathis";"ANA";"Catcher";72;180;23,92
"71";"Mike_Napoli";"ANA";"Catcher";72;205;25,33
"72";"Casey_Kotchman";"ANA";"First_Baseman";75;210;24,02
"73";"Kendry_Morales";"ANA";"First_Baseman";73;220;23,7
"74";"Shea_Hillenbrand";"ANA";"First_Baseman";73;211;31,59
"75";"Robb_Quinlan";"ANA";"First_Baseman";73;200;29,95
"76";"Howie_Kendrick";"ANA";"First_Baseman";70;180;23,64
"77";"Orlando_Cabrera";"ANA";"Shortstop";70;190;32,33
"78";"Erick_Aybar";"ANA";"Shortstop";70;170;23,13
"79";"Dallas_McPherson";"ANA";"Third_Baseman";76;230;26,6
"80";"Maicer_Izturis";"ANA";"Third_Baseman";68;155;26,46
"81";"Reggie_Willits";"ANA";"Outfielder";71;185;25,75
"82";"Tommy_Murphy";"ANA";"Outfielder";72;185;27,51
"83";"Terry_Evans";"ANA";"Outfielder";75;200;25,11
"84";"Gary_Matthews_Jr.";"ANA";"Outfielder";75;225;32,51
"85";"Garret_Anderson";"ANA";"Outfielder";75;225;34,67
"86";"Vladimir_Guerrero";"ANA";"Outfielder";75;220;31,06
"87";"Chone_Figgins";"ANA";"Outfielder";68;160;29,1
"88";"Juan_Rivera";"ANA";"Outfielder";74;205;28,66
"89";"John_Lackey";"ANA";"Starting_Pitcher";78;235;28,35
"90";"Bartolo_Colon";"ANA";"Starting_Pitcher";71;250;33,77
"91";"Kelvim_Escobar";"ANA";"Starting_Pitcher";73;210;30,89
"92";"Dustin_Moseley";"ANA";"Starting_Pitcher";76;190;37,74
"93";"Ervin_Santana";"ANA";"Starting_Pitcher";74;160;24,14
"94";"Joe_Saunders";"ANA";"Starting_Pitcher";74;200;25,71
"95";"Jered_Weaver";"ANA";"Starting_Pitcher";79;205;24,41
"96";"Chris_Resop";"ANA";"Relief_Pitcher";75;222;24,32
"97";"Phil_Seibel";"ANA";"Relief_Pitcher";73;195;28,09
"98";"Justin_Speier";"ANA";"Relief_Pitcher";76;205;33,31
"99";"Darren_Oliver";"ANA";"Relief_Pitcher";74;220;36,4
"100";"Hector_Carrasco";"ANA";"Relief_Pitcher";74;220;37,36
"101";"Scot_Shields";"ANA";"Relief_Pitcher";73;170;31,61
"102";"Francisco_Rodriguez";"ANA";"Relief_Pitcher";72;185;25,14
"103";"Greg_Jones";"ANA";"Relief_Pitcher";74;195;30,29
"104";"Doug_Mirabelli";"BOS";"Catcher";73;220;36,37
"105";"Jason_Varitek";"BOS";"Catcher";74;230;34,89
"106";"George_Kottaras";"BOS";"Catcher";72;180;23,79
